name,cuisine,budget,location,dietary_tags,description,rating
Meridian Chimney,continental,premium,bodakdev,vegetarian;non_vegetarian,Restaurant near Sindhubhavan Road known for chimney-style live cooking.,
Bluez Restaurant and Take Away,multi_cuisine,mid,prahladnagar,vegetarian;non_vegetarian,Multi-cuisine restaurant and takeaway in Prahladnagar.,
Olives Restaurant,continental,mid,bodakdev,vegetarian;non_vegetarian,Restaurant near Sindhu Bhavan Road on Pakvan-Bopal Road.,
Fayrouz,lebanese,mid,prahladnagar,vegetarian;non_vegetarian,Lebanese-inspired restaurant in Prahladnagar.,
Sazzy Sizzlers,continental,budget,thaltej,vegetarian,Pure-vegetarian sizzler restaurant in Thaltej.,
Under The Neem Trees,multi_cuisine,mid,bodakdev,vegetarian;non_vegetarian,Indian and Western multi-cuisine restaurant in Bodakdev.,
Ristretto Behind The Rods,cafe,mid,navrangpura,vegetarian,Vegetarian cafe near Gujarat University.,
650 - The Global Kitchen,multi_cuisine,premium,prahladnagar,vegetarian;non_vegetarian,Modern multi-cuisine restaurant in Prahladnagar.,
Spiceville Restaurant,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Restaurant inside Hotel Nalanda in Ellisbridge.,
Maaidah - The Table Spread,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Restaurant in Ellisbridge.,
Suppertime Restaurant,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Restaurant inside Golden Plaza in Ellisbridge.,
Lithosphere,multi_cuisine,premium,bodakdev,vegetarian;non_vegetarian,Restaurant in Bodakdev.,
Aagman Thal Restaurant & Banquet,gujarati,mid,satellite,vegetarian,Thali restaurant and banquet hall in Satellite.,
Kovallam Restaurant,south_indian,mid,navrangpura,vegetarian,South Indian restaurant in Navrangpura.,
Induben Khakhrawala,sweets,budget,navrangpura,vegetarian,Well-known khakhra and Gujarati snacks shop near Mithakhali.,
Das Kaka's Khaman Outlets,snacks,budget,ambavadi,vegetarian,Khaman shop outlet in Ambavadi.,
Dalvada,street_food,budget,navrangpura,vegetarian,Street stall known for dalvada a Gujarati snack.,
The Eatery,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Multi-cuisine restaurant in Ellisbridge serving North Indian Asian and Chinese dishes.,
Dakshinayan,south_indian,mid,satellite,vegetarian,South Indian restaurant in Satellite.,
Earthen Oven,north_indian,mid,usmanpura,vegetarian;non_vegetarian,North Indian and Mughlai restaurant in Usmanpura.,
Mill & Co.,cafe,premium,sola,vegetarian;non_vegetarian,Cafe and comfort-food restaurant inside Renaissance Hotel in Sola.,
Garden Cafe,multi_cuisine,mid,sola,vegetarian;non_vegetarian,North and South Indian restaurant on SG Highway in Sola.,
Tinello,italian,premium,usmanpura,vegetarian;non_vegetarian,Italian and multi-cuisine restaurant in Usmanpura.,
The Great Kabab Factory,north_indian,premium,ambavadi,vegetarian;non_vegetarian,Mughlai kebab-focused restaurant off CG Road in Ambavadi.,
The House of Makeba,multi_cuisine,premium,bodakdev,vegetarian;non_vegetarian,Rooftop restaurant chain with outlets in Bodakdev Vastrapur and IIM Road.,
Pehar,cafe,mid,satellite,vegetarian;non_vegetarian,Rooftop cafe in Gallops Mall opposite Iskcon Mandir.,
Sly Granny,multi_cuisine,mid,thaltej,vegetarian;non_vegetarian,Restaurant and cafe in Thaltej.,
Tent Rooftop Restro & Cafe,cafe,mid,navrangpura,vegetarian;non_vegetarian,Rooftop cafe in Navrangpura.,
