name,cuisine,budget,location,dietary_tags,description,rating
Allora Milano,cafe,mid,thaltej,vegetarian;non_vegetarian,Cafe in Thaltej serving Italian pasta American and pizza dishes.,4.4
Unlocked,cafe,mid,navrangpura,vegetarian;non_vegetarian,Cafe in Navrangpura serving fast food North Indian Chinese desserts and Italian dishes.,4.4
Streetbrew Bistro & Eatery,cafe,mid,adalaj,vegetarian;non_vegetarian,Cafe in Adalaj serving North Indian Chinese desserts and continental dishes.,4.4
HOP - Double Tree By Hilton,cafe,mid,bodakdev,vegetarian;non_vegetarian,Cafe in Bodakdev serving fast food and shakes.,4.5
Oven The Bakery & Cafe,cafe,mid,naranpura,vegetarian,Bakery and cafe in Naranpura serving desserts bakery items and waffles.,
Dellure Cafe & Dessert Studio,cafe,mid,navrangpura,vegetarian;non_vegetarian,Dessert-focused cafe in Navrangpura serving shakes and coffee.,3.6
Kaffa Coffee Roasters,cafe,mid,vastrapur,vegetarian;non_vegetarian,Coffee-focused cafe in Vastrapur serving desserts continental and Italian dishes.,4.5
Topspin,cafe,mid,bodakdev,vegetarian;non_vegetarian,Coffee cafe in Bodakdev serving shakes pizza sandwiches and healthy food.,4.7
Mleko,cafe,mid,navrangpura,vegetarian;non_vegetarian,Cafe in Navrangpura serving coffee bakery items continental food and desserts.,4.6
Brewgarten,cafe,mid,navrangpura,vegetarian;non_vegetarian,Cafe in Navrangpura serving continental bakery items and shakes.,4.7
The Blue Oven,cafe,mid,bodakdev,vegetarian;non_vegetarian,Cafe in Bodakdev serving pizza Italian dishes and desserts.,4.4
A Gourmesserie,cafe,mid,prahladnagar,vegetarian;non_vegetarian,Coffee cafe in Prahladnagar serving Italian continental bakery items and desserts.,4.3
Roastea - Curated Coffee And Tea Artisans,cafe,mid,vastrapur,vegetarian;non_vegetarian,Coffee and tea cafe in Vastrapur serving bakery items North Indian and Italian dishes.,4.5
Z27 Coffee Bar,cafe,mid,ambli,vegetarian;non_vegetarian,Coffee cafe in Ambli serving North Indian continental and Italian dishes.,4.4
Niro By Nini's,cafe,mid,gulbai_tekra,vegetarian;non_vegetarian,Cafe in Gulbai Tekra serving coffee sandwiches fast food and shakes.,4.4
Leafy Lion,cafe,mid,navrangpura,vegetarian;non_vegetarian,Cafe in Navrangpura serving coffee Italian sandwiches salads and desserts.,4.4
Sip Of Hope - The Coffee House,cafe,mid,bodakdev,vegetarian;non_vegetarian,Coffee house in Bodakdev serving Italian Mexican sandwiches bakery items and tea.,4.4
Tapa Toro,cafe,premium,bodakdev,vegetarian;non_vegetarian,Cafe in Bodakdev serving Italian Mexican pizza pasta and Mediterranean dishes.,4.5
Rasa Restro Cafe,cafe,mid,adalaj,vegetarian;non_vegetarian,Cafe in Adalaj serving North Indian Italian Mexican and biryani dishes.,4.4
Tim Tim,cafe,mid,bodakdev,vegetarian;non_vegetarian,Cafe in Bodakdev serving Oriental Japanese desserts Asian and sushi dishes.,4.4
Temptt Restro And Cafe,cafe,mid,chandkheda,vegetarian;non_vegetarian,Cafe in Chandkheda serving North Indian and continental dishes.,4.3
