name,cuisine,budget,location,dietary_tags,description,rating
IDLY VIDLY,south_indian,budget,south_bopal,vegetarian,Vegetarian South Indian restaurant in South Bopal.,
Shree Parmeshwar Restaurant,multi_cuisine,mid,south_bopal,vegetarian;non_vegetarian,Restaurant in South Bopal serving Kathiyawadi Punjabi Gujarati and Chinese food.,
Arose Foods Banquet,multi_cuisine,mid,south_bopal,vegetarian;non_vegetarian,Restaurant and banquet venue in South Bopal with lawn and hall seating for gatherings.,
Sizzante,continental,mid,south_bopal,vegetarian;non_vegetarian,Sizzler restaurant in South Bopal serving veg and non-veg sizzlers.,
Angat 22 Restaurant & Banquet,multi_cuisine,mid,shela,vegetarian;non_vegetarian,Multi-cuisine restaurant and banquet venue in Shela with a seasonally changing menu.,
Orchid Blues,multi_cuisine,mid,shela,vegetarian;non_vegetarian,Restaurant on the Shela road.,
Sun Atmosphere,multi_cuisine,mid,shela,vegetarian;non_vegetarian,Restaurant in Shela.,
Pipali,multi_cuisine,mid,shela,vegetarian;non_vegetarian,24-hour open-air restaurant in Shela.,
Amul Cafe,cafe,budget,science_city_road,vegetarian,Amul-branded family dining cafe inside Science City Ahmedabad with a waterfall and stepwell-themed seating area.,
Hours & Minutes,cafe,mid,science_city_road,vegetarian;non_vegetarian,Cafe set in a garden near Science City Road.,
Cafe Delicio,cafe,mid,science_city_road,vegetarian;non_vegetarian,Cafe near Science City Road known for gourmet sandwiches and desserts.,
Proveera Cafe,cafe,mid,science_city_road,vegetarian;non_vegetarian,Cafe near Science City Road.,
Cafe Chokolade,cafe,mid,judges_bungalow_road,vegetarian;non_vegetarian,Cafe on Judges Bungalow Road.,
Bambooza Cafe,cafe,mid,judges_bungalow_road,vegetarian;non_vegetarian,Cafe on Judges Bungalow Road.,
Prince Bhajipav Corner,street_food,budget,judges_bungalow_road,vegetarian,Bhajipav street-food stall on Judges Bungalow Road opposite a Swaminarayan temple.,
Spice Rack,multi_cuisine,mid,sg_highway,vegetarian;non_vegetarian,Restaurant on SG Highway opposite Iscon Mega Mall.,
Saveur 360,multi_cuisine,mid,prahladnagar,vegetarian;non_vegetarian,Multi-cuisine restaurant in Venus Atlantis on Anandnagar Road in Prahladnagar.,
Ras-e-Saggar,multi_cuisine,mid,prahladnagar,vegetarian;non_vegetarian,Multi-cuisine restaurant near Crown Plaza on SG Highway in Prahladnagar serving combos thalis and a la carte.,
Momoman,chinese,budget,prahladnagar,vegetarian;non_vegetarian,Chinese and Thai momos restaurant in Prahladnagar.,
Knife & Fork Restaurant,north_indian,mid,prahladnagar,vegetarian;non_vegetarian,Tandoori restaurant in Prahladnagar established in 2013.,
