name,cuisine,budget,location,dietary_tags,description,rating
Urban Zykaa,multi_cuisine,mid,maninagar,vegetarian;non_vegetarian,Rooftop restaurant in Maninagar known for its terrace-garden dining setting.,
Eat Punjab,north_indian,mid,multiple_locations,vegetarian;non_vegetarian,Punjabi restaurant chain with outlets across east Ahmedabad including Maninagar and Nikol.,
Pizzaiiolo - The Wood Fired Pizza,italian,mid,multiple_locations,vegetarian;non_vegetarian,Wood-fired pizza restaurant chain with outlets across Ahmedabad including Maninagar and Nikol.,
Thaath Maath,gujarati,mid,nikol,vegetarian,Gujarati restaurant in Nikol East Ahmedabad.,
Kahani,multi_cuisine,mid,naroda,vegetarian;non_vegetarian,Multi-cuisine restaurant in Naroda East Ahmedabad.,
Table Tales,multi_cuisine,mid,nikol,vegetarian;non_vegetarian,Multi-cuisine restaurant in Nikol East Ahmedabad.,
Kathiyawadi Dhaba,gujarati,budget,naroda,vegetarian;non_vegetarian,Dhaba on Nikol-Naroda Road serving Kathiyawadi dishes like dhokla kadhi and undhiyu.,
Om Sai Restaurant,multi_cuisine,budget,amraiwadi,vegetarian;non_vegetarian,Restaurant at Kailash Colony on CTM-Ramol Road in Amraiwadi.,
Siddhivinayak Sandwich,street_food,budget,amraiwadi,vegetarian,Sandwich and snacks counter near CTM Cross Road in Amraiwadi.,
Appetina The Banquet & Restaurant,multi_cuisine,mid,amraiwadi,vegetarian;non_vegetarian,Restaurant and banquet hall near CTM on NH 8 in Amraiwadi.,
C - A - Mo,cafe,budget,amraiwadi,vegetarian;non_vegetarian,Cafe near CTM Cross Road in Amraiwadi.,
Shyam Rath,gujarati,budget,amraiwadi,vegetarian,Restaurant near CTM Cross Road in Amraiwadi.,
Jay Bhavani Vadapav,street_food,budget,vastral,vegetarian,Street-food stall in Vastral known for vada pav and snacks.,
Tandoor King,north_indian,mid,isanpur,vegetarian;non_vegetarian,Tandoor-focused North Indian Chinese and South Indian restaurant in Isanpur.,
Royal Restaurant & Banquet,multi_cuisine,mid,odhav,vegetarian;non_vegetarian,Restaurant and banquet hall on Vastral Ring Road in Odhav.,
Pizjo,fast_food,budget,vastral,vegetarian;non_vegetarian,Pizza outlet serving the Isanpur-Vastral area.,
Pizzagram,fast_food,budget,isanpur,vegetarian;non_vegetarian,Pizza and biryani outlet serving the Vastral-Isanpur area.,
Annapurna Restaurant,multi_cuisine,budget,vatva,vegetarian;non_vegetarian,Restaurant in Vatva GIDC serving Chinese North Indian and fast food.,
Gayatri Restaurant,north_indian,mid,vatva,vegetarian,Vegetarian restaurant and banquet hall in Vatva GIDC known for Punjabi and Chinese dishes.,
Jamnadas Sukhadia Khambhat Halvasan,sweets,budget,maninagar,vegetarian,Sweets and snacks shop in Rajvi Complex opposite Maninagar Police Station.,
Six Seven Restaurant,multi_cuisine,mid,naroda,vegetarian;non_vegetarian,Restaurant on Kathwada Road in Naroda.,
City Corner,multi_cuisine,mid,naroda,vegetarian;non_vegetarian,Restaurant on Dehgam Road in Naroda.,
The Dining Den Restaurant,multi_cuisine,mid,naroda,vegetarian;non_vegetarian,Restaurant on Dehgam Road in Naroda serving North Indian Chinese and Mexican dishes.,
Green Rio Restaurant,multi_cuisine,mid,naroda,vegetarian;non_vegetarian,Restaurant in Naroda East Ahmedabad.,
New Capricorn Restaurant,multi_cuisine,mid,naroda,vegetarian;non_vegetarian,Restaurant near Shalby Hospital in Naroda serving Chinese North Indian Continental and Gujarati dishes.,
