name,cuisine,budget,location,dietary_tags,description,rating
Aadhar,gujarati,mid,cg_road,vegetarian,Gujarati thali restaurant on CG Road known for unlimited traditional courses.,
Ame Gujarati,gujarati,mid,bodakdev,vegetarian,Gujarati thali restaurant in Bodakdev serving home-style regional dishes.,
Atithi,gujarati,mid,bodakdev,vegetarian,Gujarati thali restaurant in Bodakdev with a wide course spread.,
Gordhan Thal,gujarati,mid,sg_highway,vegetarian,Unlimited Gujarati thali restaurant on SG Highway.,
Pakvan,gujarati,mid,ellisbridge,vegetarian,Long-running Gujarati thali restaurant known for consistent quality.,
Sasuji Dining Hall,gujarati,mid,cg_road,vegetarian,Gujarati thali dining hall on CG Road.,
Shree Mangalya,gujarati,mid,drive_in_road,vegetarian,Gujarati thali restaurant on Drive-in Road.,
Chandravilas,gujarati,budget,lal_darwaza,vegetarian,Old-city institution credited with popularizing the Gujarati thali in Ahmedabad.,
Laxmivilas,gujarati,budget,lal_darwaza,vegetarian,Old-city Gujarati thali restaurant with decades of history.,
Chetna,gujarati,budget,lal_darwaza,vegetarian,Historic Gujarati thali restaurant in the old city.,
Toran Dining Hall,gujarati,mid,ashram_road,vegetarian,Gujarati thali dining hall on Ashram Road.,
Purohit,gujarati,mid,ashram_road,vegetarian,Gujarati thali restaurant on Ashram Road.,
Green House,multi_cuisine,mid,lal_darwaza,vegetarian,Multi-cuisine restaurant at House of MG serving Gujarati South Indian and North Indian dishes.,
Darbar Samosa Center,street_food,budget,lal_darwaza,vegetarian,Old-city snack counter known for samosas and Gujarati farsan.,
Rasranjan Food Court,street_food,budget,navrangpura,vegetarian,Food court known for snacks and desserts near Vijay Cross Road.,
Gopi Dining Hall,gujarati,budget,ellisbridge,vegetarian,Long-standing Gujarati and Kathiyawadi thali restaurant opposite Town Hall.,
Swati Snacks,street_food,mid,ellisbridge,vegetarian,Iconic Gujarati street-food and snacks restaurant near Law Garden.,
Honest,street_food,budget,panchavati,vegetarian;non_vegetarian,Popular pav bhaji chain that started near Panchavati crossroads.,
Sankalp,south_indian,mid,sg_highway,vegetarian,South Indian vegetarian chain known for its giant dosas.,
Dasa Prakash,south_indian,mid,sg_highway,vegetarian,South Indian restaurant known for dosas and traditional filter coffee.,
Mysore Masala,south_indian,mid,sg_highway,vegetarian,South Indian restaurant serving dosas idlis and vadas.,
Mirch Masala,north_indian,mid,bodakdev,vegetarian;non_vegetarian,Bollywood-themed North Indian restaurant on SG Highway known for spicy dishes.,
Bricks,north_indian,mid,sg_highway,vegetarian;non_vegetarian,North Indian restaurant on SG Highway.,
Chawla's,north_indian,mid,bodakdev,vegetarian;non_vegetarian,North Indian restaurant in Bodakdev.,
Curry's,north_indian,mid,iim_road,vegetarian;non_vegetarian,North Indian restaurant near IIM Road.,
DinnerBell,north_indian,mid,memnagar,vegetarian;non_vegetarian,North Indian restaurant in Memnagar.,
Goras,north_indian,mid,gota,vegetarian,North Indian restaurant in Gota.,
Gormoh,north_indian,mid,bodakdev,vegetarian;non_vegetarian,North Indian restaurant in Bodakdev.,
Jungle Bhookh,north_indian,mid,ellisbridge,vegetarian;non_vegetarian,North Indian themed restaurant in Ellisbridge.,
Khyber,north_indian,premium,ashram_road,vegetarian;non_vegetarian,North Indian fine-dining restaurant on Ashram Road.,
Tanduri Bytes,north_indian,mid,bodakdev,non_vegetarian,Tandoor-focused North Indian restaurant in Bodakdev.,
The Cooking Culture,north_indian,mid,sg_highway,vegetarian;non_vegetarian,North Indian restaurant on SG Highway.,
The Gateway Hotel Ummed,multi_cuisine,premium,airport_road,vegetarian;non_vegetarian,Multi-cuisine hotel restaurant near the airport.,
Amritsar,multi_cuisine,mid,university_road,vegetarian;non_vegetarian,Multi-cuisine restaurant on University Road.,
Apple 9,multi_cuisine,mid,bodakdev,vegetarian;non_vegetarian,Multi-cuisine restaurant in Bodakdev.,
Basil,multi_cuisine,mid,navrangpura,vegetarian;non_vegetarian,Multi-cuisine restaurant in Navrangpura.,
Cafe Landmark,cafe,mid,ashram_road,vegetarian;non_vegetarian,Cafe and multi-cuisine restaurant on Ashram Road.,
Cafe Upper Crust,cafe,mid,vastrapur,vegetarian,Cafe near Vastrapur known for casual all-day dining.,
