name,cuisine,budget,location,dietary_tags,description,rating
Wagh Bakri Tea Lounge,cafe,mid,paldi,vegetarian;non_vegetarian,Tea-and-snacks lounge run by the Wagh Bakri brand in Paldi.,
Cruise Lounge Cafe,italian,mid,paldi,vegetarian;non_vegetarian,Italian and burger cafe in Paldi.,
Akshar River Cruise,north_indian,premium,paldi,vegetarian;non_vegetarian,Riverside dining restaurant in Paldi serving North Indian cuisine.,
Day Night Cafe,cafe,budget,paldi,vegetarian;non_vegetarian,Casual cafe in Paldi open through the day and night.,
Nini's Kitchen,cafe,mid,panchvati,vegetarian;non_vegetarian,Industrial-vibe cafe near Panchvati on C G Road serving Indian and Mediterranean fusion dishes.,
Ambrosia Restaurant,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Multi-cuisine restaurant in Ellisbridge.,
Gardenia,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Restaurant in Ellisbridge.,
24 Carat Cafe,north_indian,mid,ellisbridge,vegetarian;non_vegetarian,Casual dining cafe at Hotel Inder Residency in Ellisbridge serving North Indian and Continental food.,
Panache Multi Cuisine Restaurant,multi_cuisine,mid,ellisbridge,vegetarian;non_vegetarian,Multi-cuisine restaurant near Parimal Garden in Ellisbridge known for smoothies and waffles.,
Muse,cafe,premium,bodakdev,vegetarian;non_vegetarian,Cafe and restaurant off Sindhu Bhavan Road in Bodakdev.,
Shararat Restaurant & Rooftop Cafe,multi_cuisine,mid,bodakdev,vegetarian;non_vegetarian,Rooftop restaurant and cafe in Bodakdev with live music and buffet dining.,
Old Madrasi Brahmania Restaurant,south_indian,budget,bhadra,vegetarian,Old South Indian restaurant in a lane near Bhadra court.,
Baghdad Fry Centre,mughlai,mid,khanpur_road,non_vegetarian,Non-vegetarian eatery on Dahyabhai Parmar Road in Khanpur known for fried delicacies.,
Theobroma Bakery and Cake Shop,bakery,mid,cg_road,vegetarian,Bakery and cake shop chain outlet on C G Road.,
7Violettes,bakery,mid,cg_road,vegetarian,Bakery-cafe on C G Road known for cheesecakes and tarts.,
Cafe Mocha,cafe,mid,navrangpura,vegetarian;non_vegetarian,Cafe on H L College Road in Navrangpura popular with students.,
Jalabapa Farsan,snacks,budget,satellite,vegetarian,Farsan shop on Jodhpur Cross Road in Satellite.,
Radhekrishna Thepla,gujarati,budget,satellite,vegetarian,Thepla and Gujarati snacks shop on Jodhpur Cross Road in Satellite.,
Sasa's Kitchen,multi_cuisine,mid,satellite,vegetarian;non_vegetarian,Multi-cuisine restaurant on Jodhpur Cross Road in Satellite.,
Sheeba Delicious,multi_cuisine,mid,satellite,vegetarian;non_vegetarian,Restaurant near Star Bazaar on Jodhpur Cross Road in Satellite.,
Mehmaan,multi_cuisine,mid,navrangpura,vegetarian;non_vegetarian,Restaurant on C G Road in Navrangpura offering home delivery.,
Shreeji Restaurant,gujarati,budget,cg_road,vegetarian,Restaurant opposite Karnavati Pagarkha near Navrangpura on C G Road.,
