name,cuisine,budget,location,dietary_tags,description,rating
Gamthi Restaurant,north_indian,mid,gota,vegetarian;non_vegetarian,North Indian and Chinese restaurant in Gota.,
Hot Plate The Restaurant,multi_cuisine,mid,gota,vegetarian;non_vegetarian,Multi-cuisine restaurant in Gota.,
CAPSICUM,multi_cuisine,mid,gota,vegetarian;non_vegetarian,Multi-cuisine restaurant in Gota serving an Indian and continental menu.,
Maple 99,italian,premium,chandkheda,vegetarian;non_vegetarian,Restaurant in Chandkheda known for live music and Italian gourmet dishes.,
522 Fine Dine Restaurant,multi_cuisine,premium,chandkheda,vegetarian;non_vegetarian,Fine-dining restaurant in Chandkheda known for its ambience.,
GwalBhog,gujarati,mid,chandkheda,vegetarian,Restaurant in Chandkheda known for Rajasthani food and Gujarati thali.,
Aranyani Restaurant,cafe,mid,chandkheda,vegetarian;non_vegetarian,Trending cafe-restaurant on the Chandkheda-Zundal border.,
Swad Gathiya Rath,snacks,budget,chandkheda,vegetarian,Budget gathiya and Gujarati snacks stall in Chandkheda.,
Radhe Dhokla Chandkheda,snacks,budget,chandkheda,vegetarian,Dhokla and Gujarati snacks shop in Chandkheda.,
Firangi Zaayka,multi_cuisine,budget,chandkheda,vegetarian;non_vegetarian,Casual multi-cuisine eatery in Chandkheda.,
Kabir Restaurant,north_indian,mid,chandkheda,vegetarian;non_vegetarian,North Indian restaurant in Chandkheda.,
Wooddy Jhones Pizza,pizza,budget,chandkheda,vegetarian;non_vegetarian,Local pizza chain outlet in Chandkheda.,
Fun Point,fast_food,budget,chandkheda,vegetarian;non_vegetarian,Fast-food restaurant in Chandkheda.,
Jeeman By Shivshakti Dhaba,punjabi,mid,motera,vegetarian;non_vegetarian,Dhaba-style Punjabi restaurant in Motera.,
Cafe Pride,cafe,mid,motera,vegetarian;non_vegetarian,Cafe in Motera near the stadium area.,
Cheesy Crazy Cafe,cafe,budget,motera,vegetarian;non_vegetarian,Casual cafe in Motera known for cheese-loaded dishes.,
Bhandari Multicuisine Restaurant,multi_cuisine,mid,vaishnodevi_circle,vegetarian;non_vegetarian,Multi-cuisine restaurant at Vaishnodevi Circle.,
Thaker's,gujarati,mid,sg_highway,vegetarian,Restaurant on SG Highway toward Gandhinagar known for its natural surroundings.,
Gunjan Garden Restaurant,multi_cuisine,mid,sg_highway,vegetarian;non_vegetarian,Garden-set farmhouse restaurant used for dining and events near the Ahmedabad-Gandhinagar highway.,
Farm House Restaurant & Lounge,multi_cuisine,mid,sg_highway,vegetarian;non_vegetarian,Farmhouse-style restaurant and lounge in Ahmedabad.,
Shree Jalaram Parotha House,street_food,budget,ranip,vegetarian,Popular parotha and snacks food shop in Ranip.,
Citrus Cafe,cafe,mid,ashram_road,vegetarian;non_vegetarian,Cafe on Ashram Road near the Sabarmati riverfront.,
Riverfront Foodies,multi_cuisine,budget,ashram_road,vegetarian;non_vegetarian,Casual eatery on Ashram Road serving North Indian momos pizza Chinese and street food.,
Madras Cafe - The Taste Of Town,south_indian,budget,zundal,vegetarian,South Indian cafe on Tragad Road near Zundal.,
D' Cafe,cafe,mid,zundal,vegetarian;non_vegetarian,Cafe in Zundal on SP Ring Road near Adalaj.,
Green Aura,multi_cuisine,mid,tragad,vegetarian;non_vegetarian,Multi-cuisine restaurant in Tragad.,
